Station Name,Longitude,Latitude,Number of Exits,Opening Date,Opening Year-Month,SVY21_X,SVY21_Y
GARDENS BY THE BAY MRT STATION,103.86790320784318,1.2791668064192445,3,13 November 2022,2022-11,31848.990454401028,29069.312424821255
GEYLANG BAHRU MRT STATION,103.87167493949823,1.3213354072677879,2,21 October 2017,2017-10,32268.683048855484,33732.106049608185
GREAT WORLD MRT STATION,103.83309156886823,1.294296204091656,6,13 November 2022,2022-11,27974.735723470563,30742.21717802082
GUL CIRCLE MRT STATION,103.65993954468826,1.3189347248509815,2,18 June 2017,2017-06,8704.583852945838,33467.29009450393
HARBOURFRONT MRT STATION,103.82129759241445,1.2654757927725697,5,20 June 2003,2003-06,26662.15403542362,27555.408207164317
HAVELOCK MRT STATION,103.83373395793535,1.2884384467211425,5,13 November 2022,2022-11,28046.228126512586,30094.49659758964
HAW PAR VILLA MRT STATION,103.7820063970724,1.2830552735417646,1,8 October 2011,2011-10,22289.37580003402,29499.31039985545
HILLVIEW MRT STATION,103.76739837501947,1.3622792889314002,2,27 December 2015,2015-12,20663.855052678824,38259.5384981466
HOLLAND VILLAGE MRT STATION,103.79588732699557,1.3110003169231763,3,8 October 2011,2011-10,23834.255201288717,32589.303099209694
HOUGANG MRT STATION,103.89246438442173,1.371432176548845,3,20 June 2003,2003-06,34582.208732975836,39271.599095825586
JALAN BESAR MRT STATION,103.85527034501443,1.3051785870112829,2,21 October 2017,2017-10,30443.029699737614,31945.545649843825
JELAPANG LRT STATION,103.76467679284494,1.3868326995309255,1,6 November 1999,1999-11,20361.05280003369,40974.54020001656
JOO KOON MRT STATION,103.67858239304405,1.3277290979482586,2,28 February 2009,2009-02,10779.419300536774,34439.59354988946
JURONG EAST MRT STATION,103.74236508406312,1.3332114638253465,4,5 November 1988,1988-11,17877.821539978904,35045.453545691336
KADALOOR LRT STATION,103.91645229440469,1.3996103651652896,2,29 January 2005,2005-01,37251.66364947434,42387.482799954305
KAKI BUKIT MRT STATION,103.90927568744428,1.3351165483561398,2,21 October 2017,2017-10,36453.22895119495,35256.051549475436
KALLANG MRT STATION,103.87165882001496,1.3116611267596656,2,4 November 1989,1989-11,32266.905549659114,32662.373549790223
KANGKAR LRT STATION,103.90221196308491,1.3839198530203611,2,18 January 2003,2003-01,35666.95624959421,40652.452899926815
KATONG PARK MRT STATION,103.88608064630657,1.2979590972838213,2,23 June 2024,2024-06,33871.95033067647,31147.30222805597
KEAT HONG LRT STATION,103.74922684160637,1.3784649670168292,1,6 November 1999,1999-11,18641.63820003433,40049.333300003615
KEMBANGAN MRT STATION,103.9129201840768,1.321037934168733,2,4 November 1989,1989-11,36858.87354994403,33699.32189990523
KENT RIDGE MRT STATION,103.78457515889197,1.2934868977315543,4,8 October 2011,2011-10,22575.280020581813,30652.780374071277
KHATIB MRT STATION,103.83293675462139,1.4174038435815335,4,20 December 1988,1988-12,27957.50847735787,44354.83184915971
KING ALBERT PARK MRT STATION,103.78379592249806,1.3357565615926617,2,27 December 2015,2015-12,22488.650458048178,35326.745986925314
KOVAN MRT STATION,103.88482657958616,1.3599804073029917,3,20 June 2003,2003-06,33732.24083546299,38005.300628056175
KRANJI MRT STATION,103.7620526444446,1.4249606810976627,4,10 February 1996,1996-02,20069.147400609905,45190.55154827816
KUPANG LRT STATION,103.88113855300325,1.3982214946162514,2,18 January 2003,2003-01,33321.7214000392,42233.79880003232
LABRADOR PARK MRT STATION,103.80235555366292,1.2721069580543352,1,8 October 2011,2011-10,24554.055400034333,28288.66569983847
LAKESIDE MRT STATION,103.72107892304636,1.3441229895834477,3,5 November 1988,1988-11,15508.94557024176,36252.09429412997
LAVENDER MRT STATION,103.86284668976303,1.3073939998022037,2,4 November 1989,1989-11,31286.204398098667,32190.52324906054
LAYAR LRT STATION,103.88015126483126,1.3920853547732004,2,18 January 2003,2003-01,33211.86295001443,41555.29310002217
