school_name,address,postal_code,mainlevel_code,type_code,zone_code,X,Y,Longitude,Latitude,year_in_location
BUKIT BATOK SECONDARY SCHOOL,50 BUKIT BATOK WEST AVE 8   ,658962,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,17711.9101901269,36735.00712738,103.74087370482,1.34849111079052,1988
BUKIT MERAH SECONDARY SCHOOL,10 LENGKOK BAHRU   ,159050,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,25787.5608570725,29790.9091712814,103.813438929393,1.28569283064288,2004
BUKIT PANJANG GOVT. HIGH SCHOOL,7 CHOA CHU KANG AVE 4   ,689809,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,17432.4458359294,40467.0724023171,103.738361221869,1.38224243360043,1995
BUKIT PANJANG PRIMARY SCHOOL,109 CASHEW ROAD   ,679676,PRIMARY,GOVERNMENT SCHOOL,WEST,20888.5750349946,39500.3618246447,103.769417337654,1.37350089986584,1990
BUKIT TIMAH PRIMARY SCHOOL,111 Lorong Kismis   ,598112,PRIMARY,GOVERNMENT SCHOOL,WEST,20603.3479896449,35547.1996132508,103.766855344779,1.3377498622588,2003
BUKIT VIEW PRIMARY SCHOOL,18 BUKIT BATOK STREET 21   ,659634,PRIMARY,GOVERNMENT SCHOOL,WEST,19135.5884738322,36444.0823157039,103.75366641455,1.34586054788695,1986
BUKIT VIEW SECONDARY SCHOOL,16 BUKIT BATOK STREET 21   ,659633,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,18975.3516749162,36429.990117576,103.752226593984,1.3457330554294,1986
CANBERRA PRIMARY SCHOOL,21 ADMIRALTY DRIVE   ,757714,PRIMARY,GOVERNMENT SCHOOL,NORTH,26057.0121687725,48097.4040875677,103.815858858929,1.45125024371543,2000
CANBERRA SECONDARY SCHOOL,51 SEMBAWANG DRIVE   ,757699,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,25872.8083025776,48311.9895634912,103.814203583818,1.45319086315972,2000
CANOSSA CATHOLIC PRIMARY SCHOOL,1 Sallim Road   ,387621,PRIMARY,GOVERNMENT-AIDED SCH,EAST,33443.1189393327,34319.1509661097,103.882227964852,1.32664424544839,2014
